Team,Team_Name
3597,Knights 
3597,Knights
3599,3 Dudes With Attitude
3608,Robocto Pi
3608,Roboctopi
3609,Polar Technics
3612,Autonomoose
3615,Blue Screen
3615,Blue Screen 
3620,Furious George
3620,Furious George
3621,Semper Fi
3621,Semper Fi
3626,Sikeston Tech Dogs
3627,Rogue Robots
3628,Cape Tiger Tron
3633,Bazinga Bots
3634,Red Raider Robotics: KISS
3635,Cougars Gone Wired
3638,Atomic Shock II
3640,Metal Militia
3641,PPS Robotics
3648,Beehive Robotics
3648,Beehive Robotics
3650,Torrey Techies
3658,Boson
3660,Team Cherokee
3660,Cherokee
3660,Team Cherokee
3664,N.B.I. (Nothin' But Initials)
3664,N.B.I.
3665,Leopold Gearheads
3666,HAWKS
3668,Smokie Jr.
3670,Metal Mustangs
3674,Disinfectant Hand Sanitizer
3677,Royal Flush
3695,Robo Pirates
3698,RockyMountain Robotics
3699,NERDS
3701,Hancock
3708," Iron Eagles ""Opimus"""
3708,Iron Eagles Optimus
3715,Hawks
3717,Cyber Knights
3719,Rampage Raiders
3722,Monkeys of Mayhem
3724,Bulldogs
3726,Terrabots
3727,P2C2E
3731,Bot Jox
3733,Mid Prairie Science Club
3736,Serious Business
3736,Serious Business
3737,Hank's Tanks 
3738,Robohawktagons
3738,Robohawktagon
3740,Absolute Zeroes
3744,Username:awesome
3746,Neco RoboKnights
3747,W.A.S.P.S.
3749,Teenage Mutant Ninja Squirtles
3750,Error 404
3755,Yanza Fuo
3755,Yanza Fuo
3758,Aztec Eagles
3760,Robolions
3763,Piece of Cake
3764,Vulcan
3766,Technical Difficulties
3774,Hive Voltage
3774,Hive Voltage
3781,Westlake Pi-Rho Maniacs
3781,The Westlake Pi-Rho Maniacs
3781,Pi Rho Maniacs
3785,Beastie Bots
3785,Beastie Bots
3787,Gearing Sideways
3788,The Juggernauts
3788,The Juggernauts
3788,Juggernauts
3791,Zipties
3792,Brocksquatch
3792,Gear Devils 2
3795,Jag-Wired
3795,Jag Wired
3796,Talons
3802,Long Shots
3804,Team Snuffleupagus
3804,Snuffleupagus
3805,Ring Leaders
3819,Green RoboDragons
3819,Green RoboDragons
3819,Green Robo Dragons
3820,Gold RoboDragons
3826,Crimson Omega
3830,Skynet
3830,SktNet
3830,SkyNet
3831,Golden Eagles
3836,Sherwood Robotics
3839,NeXT
3839,NeXT
3841,Thunder Cats
3846,Maelstrom
3846,Maelstrom
3847,P2PA
3848,Shockwave
3848,Shcokwave
3854,Panther's Rage
3860,The Revolution
3864,Global Force
3866,R.A.B.B.I.T. NC Robotics
3866,NC 90 Degrees
3873,Scotbotics
3873,ScotBots
3886,Quake
3888,Greased Lightning
3888,Greased Lightning
3896,TechNeetics
3900,Return of Comet Donati
3901,Not First
3903,BSOD Blue Screen of Death
3903,Trash Torque
3907,Blue Tornado
3908,Robotigers Omega
3912,Liberty 2
3915,Liberty 1
3922,Modibot V2
3923,The Atomix
3925,Cyberpirates
3928,FROZEN SQUIRRELS
3929,Cthulhu
3930,Piedmont Wildcats
3931,Robocopz
3938,Acton Robotics
3939,Robo GT
3939,Robo GT
3944,Team Mercury
3944,Team Mercury
3947,Green Dragons
3950,Suffern?s Voltage 
3950,Suffern Voltage
3950,Suffern Voltage
3951,Suffern Reactors
3951,Suffern?s Reactors
3951,Suffern Reactors
3955,Rex
3955,Stopbotics
3963,Whoop!Bots
3963,Whoop!Bots
3965,Twisted Metal
3965,Twisted Metal
3967,RAMTech
3967,RAMTech
3972,Falcon Engineering and Robots
3980,CyberHawks
3981,Gold Griffin
3983,Highlands Robotics
3983,Highland Robotics
